1 -66.811 148.735
2 -66.5465 148.712
3 -66.1904 148.477
4 -65.7635 148.054
5 -65.3174 147.48
6 -64.9264 146.8
7 -64.6719 146.059
8 -64.6248 145.304
9 -64.8284 144.576
10 -65.2865 143.908
11 -65.966 143.322
12 -66.8053 142.827
13 -67.729 142.423
14 -68.6651 142.107
15 -69.5583 141.876
16 -70.3773 141.732
17 -71.1139 141.682
18 -71.7784 141.733
19 -72.3872 141.888
20 -72.9495 142.143
21 -73.4587 142.483
22 -73.8902 142.887
23 -74.2068 143.329
24 -74.3692 143.787
25 -74.3462 144.243
26 -74.1266 144.69
27 -73.7263 145.127
28 -73.1872 145.563
29 -72.5705 146.014
30 -71.945 146.497
31 -71.3716 147.03
32 -70.8886 147.625
33 -70.501 148.28
34 -70.1798 148.98
35 -69.872 149.693
36 -69.5162 150.373
37 -69.0583 150.968
38 -68.4652 151.437
39 -67.7329 151.754
40 -66.8876 151.916
41 -65.9789 151.942
42 -65.0691 151.87
43 -64.2148 151.738
44 -63.4531 151.577
45 -62.7941 151.402
46 -62.2225 151.21
47 -61.707 150.989
48 -61.2163 150.724
49 -60.736 150.414
50 -60.2749 150.072
51 -59.8669 149.725
52 -59.5601 149.414
53 -59.4 149.184
54 -59.4107 149.071
55 -59.5798 149.093
56 -59.8558 149.245
57 -60.1555 149.501
58 -60.3813 149.813
59 -60.4398 150.125
60 -60.2588 150.383
61 -59.7961 150.547
62 -59.0445 150.596
63 -58.0325 150.531
64 -56.821 150.375
65 -55.4901 150.16
66 -54.1259 149.918
67 -52.8072 149.667
68 -51.5873 149.406
69 -50.4938 149.111
70 -49.5383 148.751
71 -48.7284 148.301
72 -48.0806 147.751
73 -47.6283 147.117
74 -47.4188 146.434
75 -47.5004 145.745
76 -47.9072 145.091
77 -48.642 144.496
78 -49.6674 143.964
79 -50.9063 143.48
80 -52.2575 143.013
81 -53.6119 142.529
82 -54.8704 142.001
83 -55.9584 141.415
84 -56.833 140.779
85 -57.4816 140.117
86 -57.918 139.465
87 -58.1721 138.869
88 -58.2805 138.37
89 -58.2774 137.995
90 -58.1887 137.76
91 -58.0287 137.662
92 -57.8049 137.689
93 -57.521 137.821
94 -57.1854 138.042
95 -56.8153 138.343
96 -56.4389 138.721
97 -56.0943 139.177
98 -55.8225 139.715
99 -55.659 140.332
100 -55.6272 141.021
101 -55.7317 141.768
102 -55.959 142.552
103 -56.2805 143.343
104 -56.6606 144.11
105 -57.0671 144.818
106 -57.4801 145.432
107 -57.8984 145.917
108 -58.3403 146.248
109 -58.8385 146.406
110 -59.4314 146.386
111 -60.1523 146.197
112 -61.0172 145.858
113 -62.0145 145.392
114 -63.1045 144.821
115 -64.2284 144.158
116 -65.32 143.405
117 -66.3182 142.563
118 -67.1836 141.631
119 -67.9047 140.616
120 -68.494 139.542
121 -68.9823 138.445
122 -69.4091 137.375
123 -69.8081 136.383
124 -70.1974 135.521
125 -70.5738 134.826
126 -70.9147 134.325
127 -71.1865 134.031
128 -71.3556 133.946
129 -71.4012 134.069
130 -71.3215 134.398
131 -71.1368 134.932
132 -70.8854 135.675
133 -70.6146 136.627
134 -70.3682 137.781
135 -70.173 139.115
136 -70.0301 140.587
137 -69.9131 142.133
138 -69.7772 143.678
139 -69.5713 145.142
140 -69.2547 146.454
141 -68.8084 147.564
142 -68.2412 148.446
143 -67.5879 149.099
144 -66.9016 149.539
145 -66.2417 149.784
146 -65.6594 149.849
147 -65.1877 149.737
148 -64.8344 149.436
149 -64.5864 148.927
150 -64.4192 148.198
151 -64.3075 147.246
152 -64.2354 146.087
153 -64.2019 144.758
154 -64.2221 143.316
155 -64.32 141.823
156 -64.5207 140.343
157 -64.837 138.933
158 -65.2613 137.633
159 -65.761 136.461
160 -66.2787 135.417
161 -66.744 134.489
162 -67.0875 133.66
163 -67.2536 132.922
164 -67.2125 132.283
165 -66.9676 131.766
166 -66.5533 131.405
167 -66.0269 131.238
168 -65.4532 131.288
169 -64.8885 131.564
170 -64.3711 132.045
171 -63.9164 132.697
172 -63.5206 133.47
173 -63.1693 134.316
174 -62.8474 135.193
175 -62.5489 136.068
176 -62.2792 136.916
177 -62.0542 137.717
178 -61.8966 138.461
179 -61.8283 139.14
180 -61.8635 139.75
181 -62.0023 140.285
182 -62.2259 140.734
183 -62.4984 141.078
184 -62.7699 141.291
185 -62.987 141.341
186 -63.1034 141.204
187 -63.0925 140.867
188 -62.9552 140.338
189 -62.7222 139.644
190 -62.4495 138.832
191 -62.2067 137.961
192 -62.0602 137.088
193 -62.0587 136.264
194 -62.223 135.529
195 -62.5437 134.901
196 -62.9925 134.386
197 -63.5355 133.98
198 -64.1486 133.678
199 -64.8259 133.477
200 -65.5802 133.381
201 -66.4381 133.402
202 -67.4293 133.557
203 -68.5758 133.864
204 -69.881 134.335
205 -71.3228 134.965
206 -72.8554 135.732
207 -74.4167 136.594
208 -75.9419 137.497
209 -77.375 138.385
210 -78.6801 139.213
211 -79.8442 139.956
212 -80.8766 140.613
213 -81.8021 141.205
214 -82.6492 141.759
215 -83.4379 142.303
216 -84.1705 142.843
217 -84.8337 143.367
218 -85.4016 143.841
219 -85.8479 144.222
220 -86.1557 144.475
221 -86.3226 144.58
222 -86.3625 144.538
223 -86.3022 144.371
224 -86.1757 144.115
225 -86.0167 143.807
226 -85.8514 143.476
227 -85.6917 143.136
228 -85.5333 142.783
229 -85.3566 142.4
230 -85.1335 141.965
231 -84.8353 141.461
232 -84.4438 140.885
233 -83.9575 140.255
234 -83.3962 139.61
235 -82.7951 139
236 -82.1978 138.479
237 -81.6439 138.085
238 -81.1592 137.841
239 -80.7516 137.742
240 -80.4138 137.771
241 -80.1319 137.901
242 -79.895 138.113
243 -79.7029 138.396
244 -79.5684 138.758
245 -79.516 139.207
246 -79.5738 139.754
247 -79.7645 140.397
248 -80.0961 141.117
249 -80.558 141.88
250 -81.1222 142.644
251 -81.7492 143.366
252 -82.3942 144.01
253 -83.0193 144.551
254 -83.598 144.984
255 -84.1165 145.313
256 -84.5753 145.549
257 -84.9855 145.709
258 -85.3628 145.804
259 -85.7222 145.844
260 -86.0722 145.834
261 -86.413 145.774
262 -86.7344 145.667
263 -87.0204 145.516
264 -87.253 145.331
265 -87.4159 145.125
266 -87.4999 144.914
267 -87.5062 144.718
268 -87.4459 144.55
269 -87.3383 144.421
270 -87.204 144.336
271 -87.0594 144.296
272 -86.9119 144.301
273 -86.7594 144.349
274 -86.5911 144.444
275 -86.3937 144.59
276 -86.156 144.792
277 -85.8746 145.053
278 -85.5542 145.373
279 -85.2093 145.749
280 -84.8614 146.178
281 -84.5358 146.658
282 -84.2551 147.194
283 -84.0348 147.79
284 -83.8787 148.449
285 -83.7762 149.165
286 -83.7064 149.921
287 -83.6429 150.685
288 -83.5636 151.422
289 -83.4577 152.093
290 -83.3315 152.671
291 -83.209 153.141
292 -83.1257 153.501
293 -83.1207 153.762
294 -83.2247 153.937
295 -83.4527 154.035
296 -83.7982 154.059
297 -84.2401 154.001
298 -84.7469 153.852
299 -85.2875 153.603
300 -85.8404 153.256
301 -86.3966 152.824
302 -86.9593 152.335
303 -87.5382 151.829
304 -88.1428 151.355
305 -88.7786 150.965
306 -89.4398 150.7
307 -90.1074 150.587
308 -90.7486 150.629
309 -91.3195 150.807
310 -91.774 151.088
311 -92.0711 151.432
312 -92.1833 151.81
313 -92.1032 152.205
314 -91.8459 152.618
315 -91.4458 153.062
316 -90.9482 153.548
317 -90.3986 154.08
318 -89.8338 154.644
319 -89.2763 155.21
320 -88.7348 155.74
321 -88.2103 156.195
322 -87.7049 156.549
323 -87.2277 156.788
324 -86.7978 156.916
325 -86.4416 156.95
326 -86.1874 156.91
327 -86.0572 156.817
328 -86.0592 156.689
329 -86.1838 156.529
330 -86.4051 156.338
331 -86.6842 156.107
332 -86.9757 155.827
333 -87.2347 155.491
334 -87.4229 155.096
335 -87.5135 154.645
336 -87.4945 154.15
337 -87.3677 153.622
338 -87.1457 153.077
339 -86.8457 152.527
340 -86.4825 151.987
341 -86.0628 151.467
342 -85.5815 150.98
343 -85.0238 150.538
344 -84.3705 150.155
345 -83.6029 149.841
346 -82.7121 149.605
347 -81.7041 149.453
348 -80.5992 149.387
349 -79.4277 149.405
350 -78.226 149.508
351 -77.0284 149.697
352 -75.8599 149.976
353 -74.7372 150.347
354 -73.6697 150.811
355 -72.6573 151.362
356 -71.6966 151.987
357 -70.7851 152.669
358 -69.9261 153.385
359 -69.1332 154.115
360 -68.435 154.844
361 -67.8751 155.566
362 -67.5069 156.28
363 -67.3821 156.989
364 -67.5377 157.694
365 -67.9852 158.388
366 -68.7044 159.055
367 -69.648 159.676
368 -70.7484 160.228
369 -71.9335 160.695
370 -73.141 161.071
371 -74.3246 161.361
372 -75.4559 161.583
373 -76.5128 161.758
374 -77.4742 161.908
375 -78.3193 162.046
376 -79.0235 162.172
377 -79.5592 162.271
378 -79.8982 162.319
379 -80.0163 162.294
380 -79.8985 162.179
381 -79.5441 161.977
382 -78.9691 161.709
383 -78.2065 161.412
384 -77.3022 161.135
385 -76.3038 160.92
386 -75.2515 160.795
387 -74.1673 160.763
388 -73.0549 160.805
389 -71.9061 160.885
390 -70.7084 160.963
391 -69.4611 161.008
392 -68.1868 161.011
393 -66.9309 160.979
394 -65.7562 160.94
395 -64.7356 160.924
396 -63.9316 160.956
397 -63.3826 161.04
398 -63.0946 161.162
399 -63.045 161.289
400 -63.1965 161.385
401 -63.513 161.417
402 -63.9743 161.372
403 -64.5812 161.256
404 -65.3554 161.095
405 -66.328 160.927
406 -67.5273 160.792
407 -68.9619 160.721
408 -70.6118 160.726
409 -72.4248 160.801
410 -74.3218 160.918
411 -76.209 161.041
412 -77.9974 161.135
413 -79.6094 161.174
414 -80.9893 161.151
415 -82.1151 161.077
416 -82.9943 160.972
417 -83.6564 160.862
418 -84.1423 160.766
419 -84.4927 160.697
420 -84.7399 160.652
421 -84.9018 160.623
422 -84.9846 160.6
423 -84.988 160.574
424 -84.9123 160.542
425 -84.7651 160.508
426 -84.5644 160.479
427 -84.3377 160.464
428 -84.1174 160.469
429 -83.9335 160.498
430 -83.8054 160.551
431 -83.7368 160.619
432 -83.7137 160.689
433 -83.7067 160.743
434 -83.6773 160.76
435 -83.5866 160.718
436 -83.4015 160.604
437 -83.1019 160.41
438 -82.6826 160.137
439 -82.1547 159.799
440 -81.5412 159.414
441 -80.8735 159.012
442 -80.184 158.62
443 -79.4984 158.265
444 -78.8306 157.967
445 -78.1872 157.735
446 -77.5703 157.571
447 -76.9843 157.469
448 -76.4409 157.42
449 -75.9606 157.417
450 -75.5706 157.457
451 -75.2976 157.539
452 -75.1609 157.668
453 -75.1662 157.845
454 -75.3032 158.063
455 -75.5461 158.307
456 -75.8594 158.55
457 -76.2037 158.758
458 -76.5438 158.894
459 -76.8548 158.932
460 -77.1232 158.856
461 -77.3491 158.669
462 -77.5419 158.385
463 -77.7152 158.033
464 -77.8797 157.639
465 -78.0358 157.225
466 -78.1708 156.802
467 -78.2591 156.365
468 -78.2683 155.9
469 -78.167 155.392
470 -77.933 154.826
471 -77.5588 154.202
472 -77.0546 153.532
473 -76.4441 152.837
474 -75.758 152.145
475 -75.0234 151.478
476 -74.2559 150.85
477 -73.4521 150.257
478 -72.5922 149.684
479 -71.6479 149.113
480 -70.5937 148.527
481 -69.4203 147.925
482 -68.1413 147.326
483 -66.796 146.764
484 -65.4432 146.284
485 -64.1472 145.925
486 -62.9646 145.714
487 -61.9331 145.654
488 -61.064 145.727
489 -60.3434 145.9
490 -59.7462 146.133
491 -59.2442 146.394
492 -58.8144 146.66
493 -58.4461 146.921
494 -58.14 147.175
495 -57.908 147.429
496 -57.7667 147.681
497 -57.73 147.923
498 -57.8034 148.135
499 -57.9787 148.284
500 -58.235 148.333
501 -58.543 148.249
502 -58.8737 148.009
503 -59.2056 147.607
504 -59.5322 147.055
505 -59.8621 146.377
506 -60.2152 145.609
507 -60.6148 144.786
508 -61.0785 143.936
509 -61.6091 143.077
510 -62.1937 142.221
511 -62.8049 141.375
512 -63.4102 140.546
513 -63.9793 139.745
514 -64.4898 138.989
515 -64.9329 138.301
516 -65.3111 137.701
517 -65.6345 137.206
518 -65.9151 136.827
519 -66.1654 136.567
520 -66.3963 136.424
521 -66.6162 136.391
522 -66.8321 136.46
523 -67.0468 136.621
524 -67.259 136.865
525 -67.4632 137.179
526 -67.6508 137.55
527 -67.8138 137.964
528 -67.948 138.405
529 -68.0558 138.858
530 -68.1453 139.311
531 -68.2278 139.758
532 -68.3125 140.193
533 -68.4019 140.618
534 -68.4884 141.029
535 -68.5546 141.421
536 -68.5763 141.781
537 -68.527 142.089
538 -68.3826 142.319
539 -68.1272 142.445
540 -67.7574 142.445
541 -67.285 142.312
542 -66.7387 142.048
543 -66.1604 141.673
544 -65.5993 141.209
545 -65.1063 140.682
546 -64.7246 140.11
547 -64.4852 139.505
548 -64.4047 138.868
549 -64.4888 138.196
550 -64.7369 137.49
551 -65.149 136.756
552 -65.7269 136.011
553 -66.4734 135.279
554 -67.3878 134.59
555 -68.4612 133.974
556 -69.6722 133.451
557 -70.9827 133.031
558 -72.3446 132.712
559 -73.704 132.48
560 -75.0047 132.316
561 -76.1961 132.205
562 -77.2405 132.136
563 -78.1111 132.11
564 -78.7939 132.135
565 -79.29 132.222
566 -79.6112 132.384
567 -79.7753 132.622
568 -79.8027 132.932
569 -79.7132 133.296
570 -79.5257 133.694
571 -79.2589 134.099
572 -78.9338 134.488
573 -78.5725 134.84
574 -78.1977 135.14
575 -77.8322 135.375
576 -77.4959 135.533
577 -77.2029 135.602
578 -76.962 135.573
579 -76.7756 135.437
580 -76.6395 135.191
581 -76.5424 134.839
582 -76.4672 134.387
583 -76.3915 133.849
584 -76.2898 133.236
585 -76.1362 132.554
586 -75.9081 131.809
587 -75.5913 130.999
588 -75.1825 130.125
