     1	148.735
     2	148.712
     3	148.477
     4	148.054
     5	147.48
     6	146.8
     7	146.059
     8	145.304
     9	144.576
    10	143.908
    11	143.322
    12	142.827
    13	142.423
    14	142.107
    15	141.876
    16	141.732
    17	141.682
    18	141.733
    19	141.888
    20	142.143
    21	142.483
    22	142.887
    23	143.329
    24	143.787
    25	144.243
    26	144.69
    27	145.127
    28	145.563
    29	146.014
    30	146.497
    31	147.03
    32	147.625
    33	148.28
    34	148.98
    35	149.693
    36	150.373
    37	150.968
    38	151.437
    39	151.754
    40	151.916
    41	151.942
    42	151.87
    43	151.738
    44	151.577
    45	151.402
    46	151.21
    47	150.989
    48	150.724
    49	150.414
    50	150.072
    51	149.725
    52	149.414
    53	149.184
    54	149.071
    55	149.093
    56	149.245
    57	149.501
    58	149.813
    59	150.125
    60	150.383
    61	150.547
    62	150.596
    63	150.531
    64	150.375
    65	150.16
    66	149.918
    67	149.667
    68	149.406
    69	149.111
    70	148.751
    71	148.301
    72	147.751
    73	147.117
    74	146.434
    75	145.745
    76	145.091
    77	144.496
    78	143.964
    79	143.48
    80	143.013
    81	142.529
    82	142.001
    83	141.415
    84	140.779
    85	140.117
    86	139.465
    87	138.869
    88	138.37
    89	137.995
    90	137.76
    91	137.662
    92	137.689
    93	137.821
    94	138.042
    95	138.343
    96	138.721
    97	139.177
    98	139.715
    99	140.332
   100	141.021
   101	141.768
   102	142.552
   103	143.343
   104	144.11
   105	144.818
   106	145.432
   107	145.917
   108	146.248
   109	146.406
   110	146.386
   111	146.197
   112	145.858
   113	145.392
   114	144.821
   115	144.158
   116	143.405
   117	142.563
   118	141.631
   119	140.616
   120	139.542
   121	138.445
   122	137.375
   123	136.383
   124	135.521
   125	134.826
   126	134.325
   127	134.031
   128	133.946
   129	134.069
   130	134.398
   131	134.932
   132	135.675
   133	136.627
   134	137.781
   135	139.115
   136	140.587
   137	142.133
   138	143.678
   139	145.142
   140	146.454
   141	147.564
   142	148.446
   143	149.099
   144	149.539
   145	149.784
   146	149.849
   147	149.737
   148	149.436
   149	148.927
   150	148.198
   151	147.246
   152	146.087
   153	144.758
   154	143.316
   155	141.823
   156	140.343
   157	138.933
   158	137.633
   159	136.461
   160	135.417
   161	134.489
   162	133.66
   163	132.922
   164	132.283
   165	131.766
   166	131.405
   167	131.238
   168	131.288
   169	131.564
   170	132.045
   171	132.697
   172	133.47
   173	134.316
   174	135.193
   175	136.068
   176	136.916
   177	137.717
   178	138.461
   179	139.14
   180	139.75
   181	140.285
   182	140.734
   183	141.078
   184	141.291
   185	141.341
   186	141.204
   187	140.867
   188	140.338
   189	139.644
   190	138.832
   191	137.961
   192	137.088
   193	136.264
   194	135.529
   195	134.901
   196	134.386
   197	133.98
   198	133.678
   199	133.477
   200	133.381
   201	133.402
   202	133.557
   203	133.864
   204	134.335
   205	134.965
   206	135.732
   207	136.594
   208	137.497
   209	138.385
   210	139.213
   211	139.956
   212	140.613
   213	141.205
   214	141.759
   215	142.303
   216	142.843
   217	143.367
   218	143.841
   219	144.222
   220	144.475
   221	144.58
   222	144.538
   223	144.371
   224	144.115
   225	143.807
   226	143.476
   227	143.136
   228	142.783
   229	142.4
   230	141.965
   231	141.461
   232	140.885
   233	140.255
   234	139.61
   235	139
   236	138.479
   237	138.085
   238	137.841
   239	137.742
   240	137.771
   241	137.901
   242	138.113
   243	138.396
   244	138.758
   245	139.207
   246	139.754
   247	140.397
   248	141.117
   249	141.88
   250	142.644
   251	143.366
   252	144.01
   253	144.551
   254	144.984
   255	145.313
   256	145.549
   257	145.709
   258	145.804
   259	145.844
   260	145.834
   261	145.774
   262	145.667
   263	145.516
   264	145.331
   265	145.125
   266	144.914
   267	144.718
   268	144.55
   269	144.421
   270	144.336
   271	144.296
   272	144.301
   273	144.349
   274	144.444
   275	144.59
   276	144.792
   277	145.053
   278	145.373
   279	145.749
   280	146.178
   281	146.658
   282	147.194
   283	147.79
   284	148.449
   285	149.165
   286	149.921
   287	150.685
   288	151.422
   289	152.093
   290	152.671
   291	153.141
   292	153.501
   293	153.762
   294	153.937
   295	154.035
   296	154.059
   297	154.001
   298	153.852
   299	153.603
   300	153.256
   301	152.824
   302	152.335
   303	151.829
   304	151.355
   305	150.965
   306	150.7
   307	150.587
   308	150.629
   309	150.807
   310	151.088
   311	151.432
   312	151.81
   313	152.205
   314	152.618
   315	153.062
